Feature,Importance
Fish-FS,-8.055874810709573e-05
Cereals-LS,-2.6206852647370216e-05
Starchy Rts-FS,5.524566628902772e-05
Pulses-FS,6.278241321903134e-05
Renewable energy,0.00010428293332663819
Starchy Rts-LSF,0.00014042421635818148
Vegetables-FS,0.00022785206312474492
Starchy-LS,0.00026657518341446365
Fruits-LS,0.0002985129068512005
Milk-FS,0.0003257985130342367
Fish-LSF,0.00048454085351219424
Cereals-LSF,0.0005257935808309688
Meat-LSF,0.000532019664722827
Sugar & Swt-FS,0.0009209558878167546
Pulses-LSF,0.0013064647157804976
Spices-FS,0.0013652794073418574
Fruits -FS,0.002310302689025012
Meat-FS,0.0029126025750808027
Energy use,0.00932745766553783
Cereals -FS,0.00951500247904904
Eggs-FS,0.020286480455559697
FP index,0.02255902592761653
Vegetal Pds-FS,0.023848587648337506
Oils-FS,0.051136935210544784
LP index,0.07286469639829657
